"","Source","SSP","RCP","GCM","Year2","cCotton.sum","cCorn.sum","cRice.sum","cSoybean.sum","cSugar.sum","cWheat.sum"
"81","harmonized","ssp1","rcp26","noresm",2055,-384208.647334402,-19845530.9553331,-12618418.3926126,-1823309.68416791,-71143.4405352872,-5114182.9117387
"82","harmonized","ssp1","rcp26","noresm",2060,-386583.837015924,-20255098.4809371,-13199866.6200778,-1886331.47181536,-57358.3306675905,-5212481.37995108
"83","harmonized","ssp1","rcp26","noresm",2065,-392862.830399382,-20484160.1668857,-13476785.7046811,-1876437.57580807,-46269.6816395965,-5328291.37331694
"84","harmonized","ssp1","rcp26","noresm",2070,-388230.71063962,-21096415.227187,-13543687.6026222,-1876823.64428461,-38670.9804748281,-5315426.46274875
"85","harmonized","ssp1","rcp26","noresm",2075,-379333.332021842,-21758645.1603308,-13493748.3450522,-1838374.5135367,-32277.9870280032,-5297670.62521036
"86","harmonized","ssp1","rcp26","noresm",2080,-365638.318160137,-22169777.2073816,-13235794.8593313,-1756666.85815432,-26196.9248162839,-5207478.47786194
"87","harmonized","ssp1","rcp26","noresm",2085,-349024.914667294,-22732169.5529904,-12844494.8650003,-1677070.16422734,-19382.3320257085,-5052585.47107878
"88","harmonized","ssp1","rcp26","noresm",2090,-338597.024604998,-22447010.4136211,-12883197.9270324,-1671715.40145828,-13514.2399046432,-5018385.89001829
"89","harmonized","ssp1","rcp26","noresm",2095,-325136.924994311,-21826020.8929159,-12731790.1923415,-1655473.99268624,-10611.2776882936,-4841343.58008373
"90","harmonized","ssp1","rcp26","noresm",2100,-306076.498999418,-19793104.8066972,-12457335.2084039,-1627399.28427783,-8369.21682562459,-4694124.37892101
"91","harmonized","ssp1","rcp45","gfdl",2015,-149757.158786622,-9986041.17847308,-7712500.59261443,-800256.006399405,-258291.818303322,-4097749.97122921
"92","harmonized","ssp1","rcp45","gfdl",2020,-193432.437600092,-11960614.0055412,-8467125.31439677,-1014825.82959081,-236618.665903965,-4507303.74980037
"93","harmonized","ssp1","rcp45","gfdl",2025,-216664.071279638,-12983397.1525383,-8987411.05688101,-1115359.9018161,-185460.463773644,-4347509.89028374
"94","harmonized","ssp1","rcp45","gfdl",2030,-259948.826691479,-13637483.3025309,-9286457.79938158,-1216705.30303664,-135357.990526695,-4220104.08717232
"95","harmonized","ssp1","rcp45","gfdl",2035,-276730.323661255,-13999082.441527,-9641860.39799305,-1319460.72513623,-120358.979491416,-4165183.28005765
"96","harmonized","ssp1","rcp45","gfdl",2040,-299187.164402816,-14872705.7585889,-10004441.9460319,-1436686.983063,-113897.081098763,-4185310.78058283
"97","harmonized","ssp1","rcp45","gfdl",2045,-312978.274987789,-15515890.271747,-10140023.0652132,-1475807.03630672,-104056.854598085,-4211153.06368804
"98","harmonized","ssp1","rcp45","gfdl",2050,-332164.390006487,-16098813.6782906,-10243033.1267156,-1537850.29335545,-81894.0455423654,-4253845.47096303
"99","harmonized","ssp1","rcp45","gfdl",2055,-350083.395570729,-16703811.4942825,-10708585.2773295,-1612944.29409284,-66134.5303855077,-4348278.33338924
"100","harmonized","ssp1","rcp45","gfdl",2060,-362906.200834295,-17560664.9300636,-11014191.0675893,-1695123.38532393,-62130.1050323466,-4447952.96092818
"101","harmonized","ssp1","rcp45","gfdl",2065,-385138.983335736,-18415437.1656632,-11195899.9331819,-1777619.29152011,-59581.6790066313,-4590514.74678461
"102","harmonized","ssp1","rcp45","gfdl",2070,-396978.14091444,-19151945.9949534,-11159857.218299,-1862849.78462702,-57807.5381126154,-4673775.79056938
"103","harmonized","ssp1","rcp45","gfdl",2075,-397817.433829951,-19821950.2099025,-11336315.8859349,-1950496.61978084,-53323.548363149,-4679416.57150295
"104","harmonized","ssp1","rcp45","gfdl",2080,-399163.937138538,-20521178.8640878,-11225317.9562498,-2023524.568657,-44585.9016867662,-4667854.356677
"105","harmonized","ssp1","rcp45","gfdl",2085,-398689.502794704,-21045793.7949605,-11129417.0487456,-2090418.18236326,-42335.7806174865,-4689037.65800005
"106","harmonized","ssp1","rcp45","gfdl",2090,-393967.755801219,-21640120.3637511,-11161515.6126169,-2219623.10156856,-39971.8868989628,-4653488.93068085
"107","harmonized","ssp1","rcp45","gfdl",2095,-385108.563219546,-22025957.7920271,-11038894.9990233,-2255409.69275881,-37828.3868896937,-4672332.26537426
"108","harmonized","ssp1","rcp45","gfdl",2100,-383646.448268123,-22634045.1861391,-11012953.272108,-2264222.46792542,-34094.5423804266,-4657514.19340824
"109","harmonized","ssp1","rcp45","hadgem",2015,-145891.116897874,-9330802.02684676,-7644188.19417137,-835344.403283611,-136901.528398755,-4136635.50643805
"110","harmonized","ssp1","rcp45","hadgem",2020,-175545.31096229,-11022194.4760718,-8412685.93874009,-1058189.57705635,-134454.076985994,-4643742.75169786
"111","harmonized","ssp1","rcp45","hadgem",2025,-209524.625770834,-12730092.4550433,-8992035.24412255,-1202055.23776764,-127779.639005541,-4532324.59516319
"112","harmonized","ssp1","rcp45","hadgem",2030,-243654.401821625,-13789497.3660772,-9408601.42398122,-1286554.67825546,-129201.717937851,-4427490.45910159
"113","harmonized","ssp1","rcp45","hadgem",2035,-270209.986256166,-14261412.528184,-9792435.54524956,-1375280.15093524,-136071.389624416,-4507759.27667038
"114","harmonized","ssp1","rcp45","hadgem",2040,-306734.743560825,-16189338.0981491,-10146093.2053939,-1452540.64346954,-139159.410949649,-4588198.5463261
"115","harmonized","ssp1","rcp45","hadgem",2045,-324126.837541161,-17379799.4242907,-10391541.80572,-1510703.18640808,-122786.889721522,-4674721.74323179
"116","harmonized","ssp1","rcp45","hadgem",2050,-342033.801344513,-18238794.8440119,-10596155.8835465,-1626300.84478289,-103250.362003246,-4673022.8115393
"117","harmonized","ssp1","rcp45","hadgem",2055,-362768.464603819,-19221313.1574114,-11156664.8030896,-1723785.92730739,-97439.5705685283,-4840788.55876334
"118","harmonized","ssp1","rcp45","hadgem",2060,-380778.704054719,-20523444.8041461,-11606843.3092605,-1803446.69394958,-85871.0815944477,-4931797.87582757
"119","harmonized","ssp1","rcp45","hadgem",2065,-405197.257691207,-21147021.2368401,-12158224.8536038,-1910555.48656065,-75273.4265896714,-5075736.91236905
"120","harmonized","ssp1","rcp45","hadgem",2070,-414512.190280129,-22103857.5555335,-12379217.9796332,-2017916.06203297,-64769.4949681475,-5105339.6975638
"121","harmonized","ssp1","rcp45","hadgem",2075,-416975.131174582,-22565331.6092349,-12578244.4328171,-2083238.80033401,-56433.5106047414,-5111700.68367548
"122","harmonized","ssp1","rcp45","hadgem",2080,-424033.92716534,-23963972.3285522,-12726231.3128485,-2215660.03691318,-51968.6699653,-5142939.62977422
"123","harmonized","ssp1","rcp45","hadgem",2085,-421314.997482591,-24583773.8201912,-12636890.8962022,-2276520.01857987,-47603.2380182427,-5138383.59090261
"124","harmonized","ssp1","rcp45","hadgem",2090,-420809.788383504,-25250832.1805393,-12700106.0972625,-2418228.65035629,-44754.0129596069,-5171355.95869207
"125","harmonized","ssp1","rcp45","hadgem",2095,-412385.641372042,-26216342.6209105,-12520026.3435924,-2452950.68788618,-42361.6785791755,-5173718.72653321
"126","harmonized","ssp1","rcp45","hadgem",2100,-405292.243980019,-27063579.2798743,-12529154.6350907,-2550424.98537176,-38770.4952410396,-5153133.76940107
"127","harmonized","ssp1","rcp45","ipsl",2015,-147135.482630359,-10215473.7522681,-7637306.63113358,-770310.246641014,-163622.395574779,-4138512.81701769
"128","harmonized","ssp1","rcp45","ipsl",2020,-199381.26826199,-12067359.5822044,-8400267.77451381,-926693.33997064,-176555.764393251,-4519624.76320248
"129","harmonized","ssp1","rcp45","ipsl",2025,-220358.035558782,-12981943.6896783,-8977270.97579138,-1045101.33879854,-148237.559257109,-4499373.84248734
"130","harmonized","ssp1","rcp45","ipsl",2030,-239625.984735774,-13847046.4231791,-9279944.6621881,-1130205.61364578,-125491.371807885,-4373267.63492135
"131","harmonized","ssp1","rcp45","ipsl",2035,-277938.793894089,-14725138.522342,-9592711.88266934,-1250312.23119472,-142832.529526257,-4547566.26341067
"132","harmonized","ssp1","rcp45","ipsl",2040,-318356.884997343,-15620211.9805829,-9866661.57802301,-1384563.77549371,-125000.538425606,-4621029.70885086
"133","harmonized","ssp1","rcp45","ipsl",2045,-334321.054328316,-16400577.3786723,-10243535.2152329,-1472165.37529964,-104096.050924938,-4660231.53517098
"134","harmonized","ssp1","rcp45","ipsl",2050,-336266.954488302,-16968600.1687118,-10439140.5026686,-1590382.7267299,-94515.0731711953,-4649508.37271196
"135","harmonized","ssp1","rcp45","ipsl",2055,-353664.51034545,-18020092.7090072,-10677412.3338607,-1671098.34456542,-90969.3654956101,-4769119.7342676
"136","harmonized","ssp1","rcp45","ipsl",2060,-376646.263386279,-19075550.6262937,-11382775.9452216,-1787514.91815718,-83095.6286787618,-5006916.56499901
"137","harmonized","ssp1","rcp45","ipsl",2065,-392610.241129587,-19746505.8274661,-11611288.4724562,-1823317.65743616,-77225.6797470158,-5083530.24269677
"138","harmonized","ssp1","rcp45","ipsl",2070,-396117.847861777,-20421873.2818884,-11890400.9268022,-1896860.66565412,-66172.1555605241,-5140263.20940004
"139","harmonized","ssp1","rcp45","ipsl",2075,-405273.553995718,-21033857.8588205,-12172025.8260639,-1933036.68628469,-57998.1902382904,-5220093.20479163
"140","harmonized","ssp1","rcp45","ipsl",2080,-405838.540922684,-21568191.3010739,-12293554.6084382,-2012947.19058928,-46507.3000560576,-5247075.4234577
"141","harmonized","ssp1","rcp45","ipsl",2085,-407864.261307324,-22207809.9380646,-12305721.0157076,-2070120.26882064,-40768.6682328047,-5300045.08058487
"142","harmonized","ssp1","rcp45","ipsl",2090,-402606.687245288,-23046919.0036888,-12340451.3595874,-2142776.01095136,-36713.3897718171,-5249064.42496286
"143","harmonized","ssp1","rcp45","ipsl",2095,-396079.272324385,-23246202.9201342,-12425250.1651343,-2226386.66782847,-33952.6498611627,-5265658.85847228
"144","harmonized","ssp1","rcp45","ipsl",2100,-390761.892622718,-23717500.0073146,-12503384.6249518,-2304558.42859152,-31115.4089793375,-5337696.75393996
"145","harmonized","ssp1","rcp45","miroc",2015,-154168.087379741,-10564965.2270673,-7613725.66913604,-820397.907178561,-200119.630807672,-4101171.79533477
"146","harmonized","ssp1","rcp45","miroc",2020,-202788.86016193,-12657325.0625326,-8416287.69112526,-994026.637470113,-154795.875856386,-4642228.48377985
"147","harmonized","ssp1","rcp45","miroc",2025,-226802.858455471,-13750172.3614957,-9106744.69356607,-1135098.60185706,-138724.507987189,-4572871.96820299
"148","harmonized","ssp1","rcp45","miroc",2030,-245929.912239985,-14473999.2932237,-9444831.89313811,-1252200.67208451,-110890.421541113,-4341420.44357548
"149","harmonized","ssp1","rcp45","miroc",2035,-290769.362134132,-15473842.061308,-10001396.1257352,-1381066.98289427,-100952.231782071,-4368479.64072901
"150","harmonized","ssp1","rcp45","miroc",2040,-319874.099493615,-16533720.1319731,-10336691.8632102,-1499222.28312094,-100108.320046715,-4419561.85339718
"151","harmonized","ssp1","rcp45","miroc",2045,-330772.834831986,-17252366.1502117,-10765249.7822232,-1583349.90451491,-97748.9072510632,-4408228.48375293
