ssps,rcps,gcms,years,sep
ssp4,rcp60,gfdl,2070,_
ssp4,rcp60,gfdl,2075,_
ssp4,rcp60,gfdl,2080,_
ssp4,rcp60,gfdl,2085,_
ssp4,rcp60,gfdl,2090,_
ssp4,rcp60,gfdl,2095,_
ssp4,rcp60,gfdl,2100,_
ssp5,rcp26,gfdl,2015,_
ssp5,rcp26,gfdl,2020,_
ssp5,rcp26,gfdl,2025,_
ssp5,rcp26,gfdl,2030,_
ssp5,rcp26,gfdl,2035,_
ssp5,rcp26,gfdl,2040,_
ssp5,rcp26,gfdl,2045,_
ssp5,rcp26,gfdl,2050,_
ssp5,rcp26,gfdl,2055,_
ssp5,rcp26,gfdl,2060,_
ssp5,rcp26,gfdl,2065,_
ssp5,rcp26,gfdl,2070,_
ssp5,rcp26,gfdl,2075,_
ssp5,rcp26,gfdl,2080,_
ssp5,rcp26,gfdl,2085,_
ssp5,rcp26,gfdl,2090,_
ssp5,rcp26,gfdl,2095,_
ssp5,rcp26,gfdl,2100,_
ssp5,rcp45,gfdl,2015,_
ssp5,rcp45,gfdl,2020,_
ssp5,rcp45,gfdl,2025,_
ssp5,rcp45,gfdl,2030,_
ssp5,rcp45,gfdl,2035,_
ssp5,rcp45,gfdl,2040,_
ssp5,rcp45,gfdl,2045,_
ssp5,rcp45,gfdl,2050,_
ssp5,rcp45,gfdl,2055,_
ssp5,rcp45,gfdl,2060,_
ssp5,rcp45,gfdl,2065,_
ssp5,rcp45,gfdl,2070,_
ssp5,rcp45,gfdl,2075,_
ssp5,rcp45,gfdl,2080,_
ssp5,rcp45,gfdl,2085,_
ssp5,rcp45,gfdl,2090,_
ssp5,rcp45,gfdl,2095,_
ssp5,rcp45,gfdl,2100,_
ssp5,rcp60,gfdl,2015,_
ssp5,rcp60,gfdl,2020,_
ssp5,rcp60,gfdl,2025,_
ssp5,rcp60,gfdl,2030,_
ssp5,rcp60,gfdl,2035,_
ssp5,rcp60,gfdl,2040,_
ssp5,rcp60,gfdl,2045,_
ssp5,rcp60,gfdl,2050,_
ssp5,rcp60,gfdl,2055,_
ssp5,rcp60,gfdl,2060,_
ssp5,rcp60,gfdl,2065,_
ssp5,rcp60,gfdl,2070,_
ssp5,rcp60,gfdl,2075,_
ssp5,rcp60,gfdl,2080,_
ssp5,rcp60,gfdl,2085,_
ssp5,rcp60,gfdl,2090,_
ssp5,rcp60,gfdl,2095,_
ssp5,rcp60,gfdl,2100,_
ssp5,rcp85,gfdl,2015,_
ssp5,rcp85,gfdl,2020,_
ssp5,rcp85,gfdl,2025,_
ssp5,rcp85,gfdl,2030,_
ssp5,rcp85,gfdl,2035,_
ssp5,rcp85,gfdl,2040,_
ssp5,rcp85,gfdl,2045,_
ssp5,rcp85,gfdl,2050,_
ssp5,rcp85,gfdl,2055,_
ssp5,rcp85,gfdl,2060,_
ssp5,rcp85,gfdl,2065,_
ssp5,rcp85,gfdl,2070,_
ssp5,rcp85,gfdl,2075,_
ssp5,rcp85,gfdl,2080,_
ssp5,rcp85,gfdl,2085,_
ssp5,rcp85,gfdl,2090,_
ssp5,rcp85,gfdl,2095,_
ssp5,rcp85,gfdl,2100,_
